id,product_id,employee_id,customer_id,sale_date,bundle_amount,product_sale_price,total_price
1,20,48,00158000002dVTIAA2,2013-03-01T07:16:33,1400,611.1,855540.0
2,1,78,00158000002dVSZAA2,2015-09-20T13:55:36,3900,253.3,987870.0
3,4,79,00158000002dVSUAA2,2014-06-09T18:55:29,2900,199.992,579976.8
4,12,66,00158000002dVTJAA2,2015-03-09T01:01:39,1000,600.0,600000.0
5,23,62,00158000002dVTKAA2,2015-11-10T09:45:57,3100,759.9905,2355970.55
6,1,62,00158000002dVSHAA2,2012-04-19T16:15:33,2600,268.2,697320.0
7,10,69,00158000002dVSPAA2,2014-09-20T18:26:44,1400,1700.0,2380000.0
8,25,66,00158000002dVTBAA2,2013-09-18T23:10:34,1700,1680.0,2856000.0
9,26,59,00158000002dVSfAAM,2014-07-24T09:40:07,4000,74.9925,299970.0
10,23,62,00158000002dVShAAM,2014-03-03T23:40:18,3200,759.9905,2431969.6
11,9,59,00158000002dVT4AAM,2011-09-10T13:58:06,500,1350.0,675000.0
12,24,79,00158000002dVSmAAM,2015-01-29T15:15:26,1700,1530.0,2601000.0
13,20,66,00158000002dVTCAA2,2012-09-02T19:59:29,1300,543.2,706160.0
14,1,80,00158000002dVT9AAM,2014-06-15T16:17:45,2000,223.5,447000.0
15,3,64,00158000002dVTNAA2,2012-05-22T18:59:45,900,474.9905,427491.45
16,24,72,00158000002dVTDAA2,2015-12-11T11:49:25,2400,1620.0,3888000.0
17,23,78,00158000002dVTHAA2,2012-07-27T17:20:53,3300,679.9915,2243971.95
18,14,71,00158000002dVSuAAM,2013-11-29T03:03:48,3500,1200.0,4200000.0
19,12,63,00158000002dVSgAAM,2013-02-05T08:14:19,100,600.0,60000.0
20,21,62,00158000002dVSgAAM,2014-12-27T11:08:12,3600,332.5,1197000.0
21,14,54,00158000002dVTIAA2,2015-07-06T09:33:11,2400,1350.0,3240000.0
22,8,61,00158000002dVT0AAM,2012-02-20T08:16:12,2600,849.9915,2209977.9
23,6,57,00158000002dVSNAA2,2013-01-13T04:42:55,700,319.2,223440.0
24,23,63,00158000002dVSbAAM,2013-05-17T21:28:12,2600,599.9925,1559980.5
25,10,70,00158000002dVSzAAM,2013-11-10T15:54:51,500,1900.0,950000.0
26,21,80,00158000002dVTJAA2,2012-09-04T02:25:44,1500,315.0,472500.0
27,25,74,00158000002dVTBAA2,2014-07-22T18:47:28,3200,1785.0,5712000.0
28,26,64,00158000002dVSxAAM,2013-09-04T02:59:16,2300,79.992,183981.6
29,20,73,00158000002dVSrAAM,2012-12-24T06:45:34,700,509.25,356475.0
30,21,74,00158000002dVSsAAM,2015-12-01T01:39:37,2800,332.5,931000.0
31,5,52,00158000002dVTTAA2,2012-06-29T11:13:20,500,315.45,157725.0
32,23,51,00158000002dVSYAA2,2014-11-07T13:33:44,3800,679.9915,2583967.7
33,11,56,00158000002dVTFAA2,2015-03-07T00:55:01,1100,468.0,514800.0
34,10,74,00158000002dVSzAAM,2013-09-13T04:11:41,3500,1500.0,5250000.0
