"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WESF","WESF_ATTRIBUTES","WT05","WT05_ATTRIBUTES"
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-01",,,,,,,"0.10",",,N","0.8",",,N","1.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-02",,,,,,,"0.04",",,N","0.7",",,N","1.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-03",,,,,,,"0.00","T,,N","0.0","T,,N","1.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-04",,,,,,,"0.05",",,N","0.5",",,N","1.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-05",,,,,,,"0.02",",,N","0.2",",,N","1.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-06",,,,,,,"0.00",",,N","0.0",",,N","1.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-07",,,,,,,"0.00",",,N","0.0",",,N","1.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-08",,,,,,,"0.00",",,N","0.0",",,N","0.0","T,,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-09",,,,,,,"0.00","T,,N","0.0",",,N","0.0","T,,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-10",,,,,,,"0.25",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-11",,,,,,,"0.47",",,N","0.1",",,N","0.0","T,,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-12",,,,,,,"0.01",",,N","0.2",",,N","0.0","T,,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-13",,,,,,,"0.05",",,N","0.8",",,N","1.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-14",,,,,,,"0.10",",,N","1.9",",,N","2.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-15",,,,,,,"0.01",",,N","0.2",",,N","2.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-16",,,,,,,"0.28",",,N","0.2",",,N","1.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-17",,,,,,,"0.02",",,N","0.1",",,N","1.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-18",,,,,,,"0.06",",,N","1.3",",,N","2.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-19",,,,,,,"0.00","T,,N","0.2",",,N","2.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-20",,,,,,,"0.02",",,N","0.8",",,N","2.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-21",,,,,,,"0.05",",,N","1.6",",,N","3.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-22",,,,,,,"0.01",",,N","0.5",",,N","3.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-23",,,,,,,"0.00",",,N","0.0",",,N","3.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-24",,,,,,,"0.00","T,,N","0.0","T,,N","3.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-25",,,,,,,"0.00",",,N","0.0",",,N","3.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-26",,,,,,,"0.00",",,N","0.0",",,N","2.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-27",,,,,,,"0.00","T,,N","0.0","T,,N","0.0","T,,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-28",,,,,,,"0.07",",,N","0.7",",,N","1.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-29",,,,,,,"0.01",",,N","0.2",",,N","1.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-30",,,,,,,"0.00",",,N","0.0",",,N","1.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-01-31",,,,,,,"0.00",",,N","0.0",",,N","0.0","T,,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-02-01",,,,,,,"0.04",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-02-02",,,,,,,"0.00",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-02-03",,,,,,,"0.10",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,
"US1NYTM0004","GROTON 0.5 NW, NY US","42.59127","-76.372","315.2","2016-02-04",,,,,,,"0.47",",,N","0.0",",,N","0.0",",,N",,,,,,,,,,,,
