3,2015-12-17 03:26:00.0000000,(null),1,Web Access Problem,No comments,qHzxXA0S
4,2015-11-23 07:51:00.0000000,(null),2,Web Site Unavailable,No comments,06qpBmpsIxF
5,2015-10-06 19:39:00.0000000,(null),3,Deficient Product,No comments,0eojpyssKl
6,2015-11-17 18:38:00.0000000,(null),4,Incident with the Delivery Company,No comments,0IKK0jmc
7,2015-10-02 02:40:00.0000000,(null),5,Web Site Unavailable,No comments,0MfC378
8,2015-06-20 04:31:00.0000000,(null),6,Delivery Delayed,No comments,0oneONF638Vg
9,2015-11-12 12:54:00.0000000,(null),7,Web Site Unavailable,No comments,0PBjBjpE3a9f
10,2015-12-24 11:27:00.0000000,(null),8,Deficient Product,No comments,1CeYN7Am9KBk
11,2015-12-01 01:08:00.0000000,(null),9,Web Site Unavailable,No comments,1crLx6Q1J
12,2015-07-12 14:27:00.0000000,(null),1,Delivery Delayed,No comments,1dguH5zzcq
13,2015-02-24 10:03:00.0000000,(null),1,More product than expected,No comments,1joyHpMCQ
14,2015-06-15 09:22:00.0000000,(null),1,Delivery Delayed,No comments,1QYH40yvP
15,2015-01-22 05:28:00.0000000,(null),1,Web Site Unavailable,No comments,1tRVMJGMXSf
16,2015-08-05 05:36:00.0000000,(null),1,Phone communication problem,No comments,1U5S6Nn
17,2015-04-10 13:49:00.0000000,(null),1,Deficient Product,No comments,1yPz7Jz
18,2015-06-09 16:35:00.0000000,(null),1,No response to the Mail,No comments,2dX6ij
19,2015-07-30 02:15:00.0000000,(null),1,Billing Payment Problem,No comments,2e6cQ9
20,2015-08-21 15:32:00.0000000,(null),1,Web Site Unavailable,No comments,2pWEBlTGDiz
21,2015-08-21 08:32:00.0000000,(null),1,No response to the Mail,No comments,346jKrH
22,2015-12-30 16:27:00.0000000,(null),2,More product than expected,No comments,355tKwDmBhr
23,2015-03-27 07:42:00.0000000,(null),2,Deficient Product,No comments,3aq7Ea
24,2015-03-08 20:44:00.0000000,(null),2,More product than expected,No comments,3BLrnnSL
25,2015-05-08 21:44:00.0000000,(null),2,Billing Payment Problem,No comments,3dfS2Zcl
26,2015-05-04 23:18:00.0000000,(null),2,Billing Payment Problem,No comments,1joyHpMCQ
27,2015-08-20 07:57:00.0000000,(null),2,Deficient Product,No comments,1QYH40yvP
28,2015-07-27 04:03:00.0000000,(null),2,Billing Payment Problem,No comments,1tRVMJGMXSf
29,2015-05-28 11:04:00.0000000,(null),2,Deficient Product,No comments,1U5S6Nn
30,2015-01-24 20:46:00.0000000,(null),2,Not all products available,No comments,1yPz7Jz
31,2015-03-27 13:17:00.0000000,(null),2,Deficient Product,No comments,2dX6ij
32,2015-08-16 07:38:00.0000000,(null),3,Web Site Unavailable,No comments,2e6cQ9
33,2015-02-09 10:26:00.0000000,(null),3,Web Site Unavailable,No comments,2pWEBlTGDiz
34,2015-06-13 10:38:00.0000000,(null),3,Delivery Delayed,No comments,346jKrH
35,2015-11-08 04:54:00.0000000,(null),3,Web Site Unavailable,No comments,355tKwDmBhr
36,2015-07-12 15:52:00.0000000,(null),3,Billing Payment Problem,No comments,3aq7Ea
37,2015-12-02 12:05:00.0000000,(null),3,Web Access Problem,No comments,3BLrnnSL
38,2015-03-12 04:50:00.0000000,(null),3,Web Site Unavailable,No comments,3dfS2Zcl
39,2015-03-17 01:55:00.0000000,(null),3,No response to the Mail,No comments,3DMOyX
40,2015-09-03 23:55:00.0000000,(null),3,Delivery Delayed,No comments,3T4Vjc0J
41,2015-05-27 08:34:00.0000000,(null),3,Cannot Access to the Support Site,No comments,40FXyd
42,2015-01-29 16:48:00.0000000,(null),4,Delivery Delayed,No comments,40Vsve87
43,2015-05-05 05:15:00.0000000,(null),4,Web Access Problem,No comments,4CQdCPGPI
44,2015-09-21 09:28:00.0000000,(null),4,Billing Payment Problem,No comments,4FZMu0
45,2015-05-01 06:19:00.0000000,(null),4,Billing Payment Problem,No comments,4jI920gEsa5Z
46,2015-10-01 13:42:00.0000000,(null),4,Delivery Delayed,No comments,4tA7N3lNnf6
47,2015-12-05 05:56:00.0000000,(null),4,Phone communication problem,No comments,4TYnOTbo4V
48,2015-10-08 15:01:00.0000000,(null),4,Billing Payment Problem,No comments,5C90BTf
49,2015-01-03 15:41:00.0000000,(null),4,Web Site Unavailable,No comments,5GKHD3P8
50,2015-05-02 14:14:00.0000000,(null),4,More product than expected,No comments,346jKrH
51,2015-10-20 13:04:00.0000000,(null),4,Deficient Product,No comments,5lfMF4oVFYn
52,2015-05-15 20:40:00.0000000,(null),5,Payment problem,No comments,6DzMMu
53,2015-09-24 17:54:00.0000000,(null),5,Web Access Problem,No comments,6f35aQC
54,2015-04-27 01:33:00.0000000,(null),5,Web Site Unavailable,No comments,6IXfLvwtOfQm
55,2015-03-07 04:20:00.0000000,(null),5,Not all products available,No comments,6MqnU2Gvb
56,2015-03-04 19:24:00.0000000,(null),5,No response to the Mail,No comments,6QAyU9S7
57,2015-06-18 03:25:00.0000000,(null),5,Web Site Unavailable,No comments,6QmNZrgIVU
58,2015-09-23 03:24:00.0000000,(null),5,Web Access Problem,No comments,6sguD5
59,2015-05-17 08:29:00.0000000,(null),5,Web Site Unavailable,No comments,75rT7ih
60,2015-08-09 06:19:00.0000000,(null),5,Cannot Access to the Support Site,No comments,76f2M2Qew
61,2015-08-02 07:38:00.0000000,(null),5,Delivery Delayed,No comments,77Jwbyqr5oY
62,2015-10-12 05:55:00.0000000,(null),6,Deficient Product,No comments,7AP4tGPnfav
63,2015-08-13 05:27:00.0000000,(null),6,Not all products available,No comments,7gTLKVJ0Y
64,2015-04-24 12:40:00.0000000,(null),6,Not all products available,No comments,7HF2X5
65,2015-05-29 13:24:00.0000000,(null),6,Deficient Product,No comments,7IKEk6nlnOwT
66,2015-07-15 23:25:00.0000000,(null),6,Delivery Delayed,No comments,7pXBUuO8oi
67,2015-02-27 18:14:00.0000000,(null),6,Delivery Delayed,No comments,7pZ5tsIILO
68,2015-03-30 07:58:00.0000000,(null),6,Web Site Unavailable,No comments,7QbMT2r
69,2015-04-29 19:38:00.0000000,(null),6,Web Site Unavailable,No comments,7SbRYkz3Bp
70,2015-10-18 15:33:00.0000000,(null),6,Delivery Delayed,No comments,7UEaa8p2i
71,2015-02-13 22:41:00.0000000,(null),6,Deficient Product,No comments,86rl3JZMk2i
72,2015-06-04 05:30:00.0000000,(null),7,Web Access Problem,No comments,89p2KkG
73,2015-01-23 09:39:00.0000000,(null),7,Deficient Product,No comments,8B1uvwkb
74,2015-05-30 08:28:00.0000000,(null),7,Billing Payment Problem,No comments,8EcgflP
75,2015-07-06 07:47:00.0000000,(null),7,Billing Payment Problem,No comments,8tOQtAluRv
76,2015-05-29 07:55:00.0000000,(null),7,Incident with the Delivery Company,No comments,8w4lPB
77,2015-08-28 03:34:00.0000000,(null),7,Billing Payment Problem,No comments,8XmFijuJiaD
