Date,Security,Ticker,McapRank,TurnRank,VolatilityRank,PriceRank,LitVol('000),OrderVol('000),Hidden,TradesForHidden,HiddenVol('000),TradeVolForHidden('000),Cancels,LitTrades,OddLots,TradesForOddLots,OddLotVol('000),TradeVolForOddLots('000)
20240328,Stock,A,10.0,6.0,3.0,10.0,679.706,48335.95,5622.0,24102.0,260.378,940.084,462663.0,18440.0,19342.0,24061.0,393.952,939.118
20240328,Stock,AA,9.0,10.0,6.0,7.0,2253.6420000000003,127690.15699999999,5330.0,35990.0,519.458,2773.1000000000004,623906.0,30631.0,21613.0,35958.0,554.0840000000001,2769.2520000000004
20240328,Stock,AACI,3.0,2.0,10.0,5.0,11.078,345.581,60.0,145.0,5.541,16.619,2452.0,84.0,43.0,144.0,1.2020000000000002,16.519
20240328,Stock,AADI,3.0,8.0,9.0,2.0,148.806,3851.2780000000002,224.0,1236.0,14.035,162.84100000000004,21835.0,1012.0,726.0,1236.0,20.183000000000003,162.84100000000004
20240328,Stock,AAGR,1.0,10.0,10.0,1.0,27.725,455.45599999999996,102.0,219.0,38.391000000000005,66.11599999999999,1725.0,117.0,62.0,219.0,1.4249999999999998,66.11599999999999
20240328,Stock,AAL,9.0,10.0,5.0,5.0,9967.207,385540.84900000005,11216.0,47702.0,2748.59,12715.797,434907.0,36356.0,14366.0,47490.0,373.782,12680.827000000003
20240328,Stock,AAMC,1.0,1.0,1.0,3.0,0.003,38.085,2.0,3.0,0.004,0.007,1579.0,1.0,1.0,1.0,0.003,0.003
20240328,Stock,AAME,3.0,2.0,10.0,3.0,13.59,218.003,33.0,116.0,2.2310000000000003,15.821,2090.0,83.0,64.0,116.0,1.5759999999999998,15.821
20240328,Stock,AAN,4.0,7.0,4.0,4.0,70.97699999999999,4502.608,296.0,1573.0,16.578999999999997,87.556,32804.0,1275.0,1138.0,1571.0,24.604,87.35600000000001
20240328,Stock,AAOI,5.0,10.0,8.0,5.0,604.5770000000001,26889.167999999998,2696.0,11475.0,171.334,775.9110000000002,139888.0,8723.0,7965.0,11414.0,187.718,768.1460000000001
20240328,Stock,AAON,9.0,4.0,3.0,9.0,102.652,8230.19,1531.0,5077.0,42.22599999999999,144.87800000000001,73473.0,3505.0,4446.0,5031.0,69.604,144.68900000000002
20240328,Stock,AAP,8.0,9.0,4.0,9.0,443.055,27853.090999999997,2988.0,14408.0,158.5,601.5550000000001,167694.0,11350.0,11107.0,14335.0,226.192,600.7330000000001
20240328,Stock,AAPL,10.0,4.0,1.0,10.0,18402.468,411066.46,60216.0,283734.0,5067.522000000001,23469.989999999998,3379458.0,223183.0,151579.0,283384.0,4438.492,23438.179
20240328,Stock,ABAT,3.0,8.0,10.0,2.0,239.134,7651.708,1183.0,2816.0,48.553,287.68699999999995,35428.0,1625.0,1589.0,2808.0,38.094,286.887
20240328,Stock,ABBV,10.0,3.0,2.0,10.0,1243.508,55549.409999999996,9500.0,37686.0,499.6379999999999,1743.146,634149.0,28147.0,29561.0,37635.0,668.196,1740.418
20240328,Stock,ABCB,8.0,4.0,3.0,8.0,69.228,14289.574999999999,952.0,3450.0,28.951999999999998,98.18,135314.0,2494.0,3067.0,3446.0,52.22000000000001,97.90299999999999
20240328,Stock,ABEO,4.0,7.0,8.0,4.0,126.804,6687.521,282.0,1429.0,22.527,149.33100000000002,48749.0,1139.0,880.0,1420.0,24.528000000000006,148.93800000000002
20240328,Stock,ABG,8.0,7.0,3.0,10.0,42.190999999999995,6161.0869999999995,1339.0,3557.0,28.517,70.70800000000001,63324.0,2210.0,3329.0,3549.0,44.529,70.66000000000001
20240328,Stock,ABIO,2.0,1.0,6.0,2.0,2.291,188.078,1.0,40.0,0.203,2.4939999999999998,726.0,36.0,26.0,37.0,0.62,2.384
