1,32694,5
2,50569,26
3,53368,2
4,5803,28
5,17791,6
6,20705,15
7,52856,8
8,44470,15
9,10115,4
10,62572,31
11,16293,1
12,50063,22
13,37927,19
14,3467,25
15,34588,15
16,5657,28
17,59222,25
18,42453,30
19,58100,9
20,22547,14
21,23085,10
22,40038,18
23,53017,9
24,5181,27
25,37374,5
26,20907,8
27,1144,24
28,17228,24
29,32974,1
30,14460,27
31,2013,23
32,13681,5
33,5051,31
34,10337,8
35,14249,25
36,63770,25
37,43403,20
38,56371,14
39,44445,27
40,14535,5
41,6447,20
42,17121,12
43,56911,18
44,2708,28
45,26455,27
46,19934,8
47,13145,22
48,15375,13
49,4765,18
50,21337,29
51,34357,3
52,6980,9
53,9836,10
54,20687,26
55,61651,9
56,27337,2
57,35623,17
58,30481,13
59,10291,21
60,4722,30
61,28680,26
62,67294,19
63,17711,18
64,62038,17
65,43145,21
66,51599,25
67,49238,13
68,63322,31
69,34484,27
70,58365,7
71,47550,8
72,44762,15
73,3648,3
74,52985,14
75,55870,20
76,28423,25
77,34944,20
78,26295,17
79,53470,10
80,67569,11
81,27397,7
82,10155,8
83,14716,4
84,14407,3
85,4197,28
86,56312,2
87,58981,21
88,23361,3
89,17891,11
90,40931,31
91,55993,30
92,11380,18
93,63434,14
94,45268,15
95,62551,5
96,24697,12
97,62582,16
98,46768,15
99,46915,9
100,53054,26
101,19481,13
102,49992,26
103,49162,15
104,13599,5
105,29432,9
106,65707,13
107,40292,6
108,10963,17
109,26229,11
110,18083,24
111,40356,6
112,41688,19
113,54803,27
114,30752,25
115,66987,18
116,23157,19
117,50386,28
118,23289,6
119,60454,4
120,53221,25
121,53140,15
122,49356,29
123,37627,24
124,19920,3
125,19246,3
126,20017,6
127,57034,21
128,43168,26
129,19659,11
130,42233,13
131,28585,20
132,19776,26
133,19870,9
134,67937,23
135,48385,7
136,48850,26
137,28100,28
138,47850,21
139,42475,17
140,55143,3
141,58548,31
142,66130,22
143,30398,21
144,24898,22
145,34292,28
146,4824,27
147,13780,22
148,4494,2
149,33746,13
150,30709,20
151,24694,2
152,50611,7
153,58363,13
154,66056,20
155,49161,6
156,27835,10
157,42189,22
158,67675,4
159,51583,20
160,35711,18
161,36248,27
162,65440,15
163,41147,30
164,35576,2
165,64410,22
166,22992,23
167,578,30
168,48622,30
169,10193,10
170,46851,29
171,59946,28
172,37038,25
173,19162,3
174,40654,8
175,34518,13
176,7562,28
177,26413,22
178,14894,2
179,57584,6
180,39177,9
181,64633,23
182,25436,8
183,62930,7
184,1416,24
185,49359,31
186,13888,15
187,14062,22
188,31245,31
189,23284,1
190,56466,23
191,1134,17
192,53379,1
193,64278,29
194,21842,11
195,36161,2
196,11277,31
197,62601,15
198,49499,15
199,9874,11
200,26315,11
201,61323,8
202,3213,3
203,1610,16
204,52833,17
205,62407,26
206,21097,10
207,36654,20
208,45364,19
209,6849,29
210,2576,10
211,26153,6
212,39009,31
213,2368,22
214,19423,20
215,57278,13
216,51087,5
217,30059,23
218,24760,13
219,60903,13
220,24680,21
221,40113,23
222,22921,10
223,34310,3
224,25882,21
225,24640,25
226,9777,31
227,11174,26
228,6602,23
229,66892,15
230,48472,26
231,36983,13
232,35182,13
233,38636,4
234,49705,25
235,38343,13
236,24088,18
237,47403,19
238,2096,30
239,59854,11
240,51149,21
241,40833,19
242,22485,19
243,62597,28
244,25633,22
245,29497,31
246,5725,24
247,59530,4
248,55125,17
249,31732,28
250,1777,15
251,7610,1
252,13045,13
253,38188,21
254,45485,30
255,15009,27
256,395,13
257,24181,6
258,24760,9
259,5043,27
260,4954,24
261,12164,3
262,60719,27
263,34854,6
264,43641,28
265,38578,29
266,64737,18
267,65331,12
268,52646,8
269,21128,31
270,21966,1
271,8086,30
272,19960,16
273,25843,3
274,23055,20
275,33067,6
276,40300,23
277,23419,3
278,49493,7
279,1499,13
280,23606,26
281,33129,3
282,47001,2
283,61926,18
284,44004,17
285,21905,22
286,46999,28
287,51687,7
288,18396,2
289,13872,27
290,25844,15
291,31300,17
292,40659,16
293,49319,27
294,58875,15
295,2541,7
296,64553,1
297,28521,4
298,27952,4
299,35445,16
300,38152,11
301,11818,2
302,55848,25
303,16288,17
304,52695,20
305,51029,8
306,39363,12
307,42090,21
308,24553,10
309,50176,10
310,39371,9
311,33023,2
312,15200,7
313,46842,13
314,35483,4
315,16974,23
316,52425,17
317,62421,20
318,61743,29
319,3552,5
320,43776,27
321,17861,23
322,45423,14
323,25108,11
324,8009,25
325,21283,28
326,38765,20
327,33088,22
328,65251,21
329,43309,15
330,40317,3
331,30466,24
332,31726,29
333,53308,15
334,17394,1
335,51498,12
336,61379,3
337,18415,10
338,27961,10
339,15139,15
340,24480,9
341,1358,23
342,62646,28
343,47498,12
344,59383,27
345,24817,4
346,8378,31
347,19078,24
348,5576,20
349,61510,1
350,12171,10
351,41881,13
352,8689,18
353,35919,3
354,29929,17
355,16163,19
356,29667,9
357,58065,21
358,24721,30
359,58319,17
360,44483,18
361,19145,20
362,29887,24
363,60374,5
364,18886,12
365,23594,26
366,25994,17
367,30234,23
368,15476,25
369,21461,28
370,66873,7
371,51338,23
372,37940,17
373,46067,14
374,27313,8
375,47029,29
376,55126,11
377,32502,19
378,12788,26
379,23987,23
380,20944,26
381,30217,30
382,46445,31
383,1803,11
384,25420,13
385,66698,2
386,25926,16
387,46943,22
388,41584,13
389,64218,9
390,30684,22
391,660,24
392,60694,19
393,24658,25
394,64351,13
395,23325,13
396,63691,30
397,32190,20
398,7036,5
399,9771,6
400,33157,1
401,61666,16
402,18309,9
403,64818,12
404,27448,17
405,54364,18
406,42498,5
407,27043,31
408,25565,31
409,47049,11
410,13583,13
411,38865,3
412,49920,7
413,19538,21
414,31525,13
415,2913,5
416,4556,23
417,52378,6
418,34058,15
419,49713,28
420,50451,12
421,7259,18
422,55820,20
423,8244,26
424,20594,10
425,52749,19
426,60179,7
427,34218,23
428,46546,13
429,21883,4
430,4845,28
431,11381,19
432,18850,22
433,64907,1
434,42715,14
435,40817,13
436,42119,7
437,3331,5
438,15724,14
439,46026,27
440,52386,4
441,36502,8
442,22104,3
443,51526,1
444,21091,25
445,24004,4
446,53380,27
447,42766,11
448,11538,26
449,16210,3
450,10084,5
451,8376,31
452,38799,22
453,20571,28
454,45603,28
455,28664,21
456,52887,17
457,5104,18
458,61068,15
459,37380,4
460,19689,12
461,12808,10
462,35406,31
463,66821,22
464,12842,6
465,65137,19
466,8421,31
467,32911,26
468,39970,17
469,57419,28
470,29787,14
471,651,6
472,64074,30
473,16738,5
474,67806,12
475,12953,15
476,40198,22
477,13421,3
478,66184,25
479,1646,7
480,26916,5
481,61532,14
482,20742,8
483,7994,26
484,24918,31
485,66787,6
486,49088,3
487,12495,22
488,56311,27
489,17,25
490,29271,23
491,57810,2
492,24604,17
493,43598,31
494,65934,31
495,3731,22
496,21224,31
497,38961,7
498,42334,27
499,9619,7
500,40502,17
501,25470,24
502,28983,10
503,17195,29
504,34651,14
505,17161,2
506,21521,15
507,25322,6
508,36858,14
509,29192,26
510,49073,1
511,22525,22
512,46255,15
513,17904,3
514,8152,21
515,3895,20
516,7832,12
517,48640,7
518,66482,23
519,60876,24
520,33839,1
521,44990,14
522,16226,25
523,53422,15
524,22366,12
525,59046,22
526,39927,23
527,5587,2
528,62136,31
