

Logging started at: 2021-09-15T12:28:14.657. Denodo Monitor 8.0 update 20210715 started at: 2021-09-15T12:28:05.096. VDP Server 8.0 update 20210715 started at: 2021-09-15T12:17:17.189

ServerName	Host	Port	Id	Database	UserName	NotificationType	SessionId	StartTime	EndTime	Duration	WaitingTime	NumRows	State	Completed	Cache	Query	RequestType	Elements	UserAgent	AccessInterface	ClientIP	TransactionId	WebServiceName
server_loc	192.168.100.1	29997	40	denodo_training	admin	startRequest	10	2021-09-15T12:29:13.765	-	-	-	-	-	-	-	SELECT database_name, database_datasource_name, datasource_name, adapter_database_name, adapter_database_version, adapter_driver_name, status, batch_size, time_to_live, maintenance, maintainer_period, target_catalog, target_schema FROM GET_CACHE_CONFIGURATION() WHERE database_name = 'denodo_training'	SELECT VIEW	-	Denodo-VDP-AdminTool	VDP-AdminTool	127.0.0.1	-	-
server_loc	192.168.100.1	29997	40	denodo_training	admin	endRequest	10	2021-09-15T12:29:13.765	2021-09-15T12:29:13.838	73	0	1	OK	true	false	SELECT database_name, database_datasource_name, datasource_name, adapter_database_name, adapter_database_version, adapter_driver_name, status, batch_size, time_to_live, maintenance, maintainer_period, target_catalog, target_schema FROM GET_CACHE_CONFIGURATION() WHERE database_name = 'denodo_training'	SELECT VIEW	"denodo_training"."get_cache_configuration()"	Denodo-VDP-AdminTool	VDP-AdminTool	127.0.0.1	-	-
server_loc	192.168.100.1	29997	41	denodo_training	admin	startRequest	10	2021-09-15T12:29:13.862	-	-	-	-	-	-	-	DESC VIEW denodo_training.bv_cc_agent	DESC	-	Denodo-VDP-AdminTool	VDP-AdminTool	127.0.0.1	-	-
server_loc	192.168.100.1	29997	41	denodo_training	admin	endRequest	10	2021-09-15T12:29:13.862	2021-09-15T12:29:13.915	53	0	-	OK	-	-	DESC VIEW denodo_training.bv_cc_agent	DESC	-	Denodo-VDP-AdminTool	VDP-AdminTool	127.0.0.1	-	-
server_loc	192.168.100.1	29997	42	denodo_training	admin	startRequest	10	2021-09-15T12:29:13.940	-	-	-	-	-	-	-	DESC WRAPPER jdbc denodo_training.bv_cc_agent	DESC	-	Denodo-VDP-AdminTool	VDP-AdminTool	127.0.0.1	-	-
server_loc	192.168.100.1	29997	42	denodo_training	admin	endRequest	10	2021-09-15T12:29:13.940	2021-09-15T12:29:14.005	65	0	-	OK	-	-	DESC WRAPPER jdbc denodo_training.bv_cc_agent	DESC	-	Denodo-VDP-AdminTool	VDP-AdminTool	127.0.0.1	-	-
server_loc	192.168.100.1	29997	43	denodo_training	admin	startRequest	10	2021-09-15T12:29:14.178	-	-	-	-	-	-	-	SELECT "stats_mode", "description_code","description","available_smart_stats" FROM GET_AVAILABLE_STATS_MODES('denodo_training','bv_cc_agent', false)	SELECT VIEW	-	Denodo-VDP-AdminTool	VDP-AdminTool	127.0.0.1	-	-
server_loc	192.168.100.1	29997	43	denodo_training	admin	endRequest	10	2021-09-15T12:29:14.178	2021-09-15T12:29:14.352	174	0	6	OK	true	false	SELECT "stats_mode", "description_code","description","available_smart_stats" FROM GET_AVAILABLE_STATS_MODES('denodo_training','bv_cc_agent', false)	SELECT VIEW	"denodo_training"."get_available_stats_modes()"	Denodo-VDP-AdminTool	VDP-AdminTool	127.0.0.1	-	-
server_loc	192.168.100.1	29997	44	denodo_training	admin	startRequest	10	2021-09-15T12:29:20.132	-	-	-	-	-	-	-	SELECT * FROM bv_cc_agent LIMIT 150 CONTEXT ('i18n'='us_pst', 'cache_wait_for_load'='true') TRACE	SELECT VIEW	-	Denodo-VDP-AdminTool	VDP-AdminTool	127.0.0.1	-	-
server_loc	192.168.100.1	29997	44	denodo_training	admin	endRequest	10	2021-09-15T12:29:20.132	2021-09-15T12:29:21.455	1323	0	150	OK	true	false	SELECT * FROM bv_cc_agent LIMIT 150 CONTEXT ('i18n'='us_pst', 'cache_wait_for_load'='true') TRACE	SELECT BASE VIEW	"denodo_training"."bv_cc_agent"	Denodo-VDP-AdminTool	VDP-AdminTool	127.0.0.1	-	-
server_loc	192.168.100.1	29997	45	denodo_training	admin	startRequest	10	2021-09-15T12:30:10.526	-	-	-	-	-	-	-	SELECT database_name, database_datasource_name, datasource_name, adapter_database_name, adapter_database_version, adapter_driver_name, status, batch_size, time_to_live, maintenance, maintainer_period, target_catalog, target_schema FROM GET_CACHE_CONFIGURATION() WHERE database_name = 'denodo_training'	SELECT VIEW	-	Denodo-VDP-AdminTool	VDP-AdminTool	127.0.0.1	-	-
server_loc	192.168.100.1	29997	45	denodo_training	admin	endRequest	10	2021-09-15T12:30:10.526	2021-09-15T12:30:10.559	33	0	1	OK	true	false	SELECT database_name, database_datasource_name, datasource_name, adapter_database_name, adapter_database_version, adapter_driver_name, status, batch_size, time_to_live, maintenance, maintainer_period, target_catalog, target_schema FROM GET_CACHE_CONFIGURATION() WHERE database_name = 'denodo_training'	SELECT VIEW	"denodo_training"."get_cache_configuration()"	Denodo-VDP-AdminTool	VDP-AdminTool	127.0.0.1	-	-
server_loc	192.168.100.1	29997	46	denodo_training	admin	startRequest	10	2021-09-15T12:30:26.853	-	-	-	-	-	-	-	SELECT database_name, database_datasource_name, datasource_name, adapter_database_name, adapter_database_version, adapter_driver_name, status, batch_size, time_to_live, maintenance, maintainer_period, target_catalog, target_schema FROM GET_CACHE_CONFIGURATION() WHERE database_name = 'denodo_training'	SELECT VIEW	-	Denodo-VDP-AdminTool	VDP-AdminTool	127.0.0.1	-	-
